trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2267744:2885686:3726280,15:05:00,15:05:00,170418,14,4058,,0,0,1
2267744:2885686:3726280,15:06:00,15:06:00,170416,15,4354,,0,0,0
2267744:2885686:3726280,15:06:00,15:06:00,170413,16,4674,,0,0,0
2267744:2885686:3726280,15:07:00,15:07:00,170411,17,4922,,0,0,0
2267744:2885686:3726280,15:07:00,15:07:00,170540,18,5171,,0,0,0
2267744:2885686:3726280,15:08:00,15:08:00,170409,19,5722,,0,0,1
2279426:2885699:3725788,16:54:00,16:54:00,170545,1,0,,0,0,1
2279426:2885699:3725803,16:54:00,16:54:00,170545,1,0,,0,0,1
2279426:2885699:3725788,16:55:00,16:55:00,170184,2,305,,0,0,0
2279426:2885699:3725803,16:55:00,16:55:00,170184,2,305,,0,0,0
2279426:2885699:3725788,16:56:00,16:56:00,170434,3,673,,0,0,0
2279426:2885699:3725803,16:56:00,16:56:00,170434,3,673,,0,0,0
2279426:2885699:3725788,16:56:00,16:56:00,170435,4,814,,0,0,0
2279426:2885699:3725803,16:56:00,16:56:00,170435,4,814,,0,0,0
2279426:2885699:3725788,16:57:00,16:57:00,170488,5,1392,,0,0,0
2279426:2885699:3725803,16:57:00,16:57:00,170488,5,1392,,0,0,0
2279426:2885699:3725788,16:58:00,16:58:00,170489,6,1600,,0,0,0
2279426:2885699:3725803,16:58:00,16:58:00,170489,6,1600,,0,0,0
2279426:2885699:3725788,16:58:00,16:58:00,170533,7,1753,,0,0,0
2279426:2885699:3725803,16:58:00,16:58:00,170533,7,1753,,0,0,0
2279426:2885699:3725788,16:59:00,16:59:00,170513,8,2243,,0,0,1
2279426:2885699:3725803,16:59:00,16:59:00,170513,8,2243,,0,0,1
2279426:2885699:3725788,16:59:00,16:59:00,170512,9,2338,,0,0,0
2279426:2885699:3725803,16:59:00,16:59:00,170512,9,2338,,0,0,0
2279426:2885699:3725788,17:00:00,17:00:00,170188,10,2572,,0,0,0
2279426:2885699:3725803,17:00:00,17:00:00,170188,10,2572,,0,0,0
2279426:2885699:3725788,17:00:00,17:00:00,170511,11,2733,,0,0,0
2279426:2885699:3725803,17:00:00,17:00:00,170511,11,2733,,0,0,0
2279426:2885699:3725788,17:00:00,17:00:00,170510,12,2925,,0,0,0
2279426:2885699:3725803,17:00:00,17:00:00,170510,12,2925,,0,0,0
2279426:2885699:3725788,17:01:00,17:01:00,170534,13,3140,,0,0,1
2279426:2885699:3725803,17:01:00,17:01:00,170534,13,3140,,0,0,1
2279426:2885699:3725788,17:02:00,17:02:00,170493,14,3377,,0,0,0
2279426:2885699:3725803,17:02:00,17:02:00,170493,14,3377,,0,0,0
2279426:2885699:3725788,17:02:00,17:02:00,170492,15,3632,,0,0,0
2279426:2885699:3725803,17:02:00,17:02:00,170492,15,3632,,0,0,0
2279426:2885699:3725788,17:03:00,17:03:00,170491,16,3902,,0,0,0
2279426:2885699:3725803,17:03:00,17:03:00,170491,16,3902,,0,0,0
2279426:2885699:3725788,17:04:00,17:04:00,170490,17,4266,,0,0,0
2279426:2885699:3725803,17:04:00,17:04:00,170490,17,4266,,0,0,0
2279426:2885699:3725788,17:04:00,17:04:00,170484,18,4452,,0,0,0
2279426:2885699:3725803,17:04:00,17:04:00,170484,18,4452,,0,0,0
2279426:2885699:3725788,17:05:00,17:05:00,170179,19,4681,,0,0,0
2279426:2885699:3725803,17:05:00,17:05:00,170179,19,4681,,0,0,0
2279426:2885699:3725788,17:05:00,17:05:00,170486,20,4833,,0,0,0
2279426:2885699:3725803,17:05:00,17:05:00,170486,20,4833,,0,0,0
2279426:2885699:3725788,17:06:00,17:06:00,170487,21,5174,,0,0,0
2279426:2885699:3725803,17:06:00,17:06:00,170487,21,5174,,0,0,0
2279426:2885699:3725788,17:06:00,17:06:00,170436,22,5363,,0,0,0
2279426:2885699:3725803,17:06:00,17:06:00,170436,22,5363,,0,0,0
2279426:2885699:3725788,17:08:00,17:08:00,170545,23,6098,,0,0,1
2279426:2885699:3725803,17:08:00,17:08:00,170545,23,6098,,0,0,1
2267746:2885729:3726380,14:53:00,14:53:00,170545,1,0,,0,0,1
2267746:2885729:3726380,14:54:00,14:54:00,170437,2,409,,0,0,0
2267746:2885729:3726380,14:54:00,14:54:00,170446,3,548,,0,0,0
2267746:2885729:3726380,14:54:00,14:54:00,170449,4,863,,0,0,0
2267746:2885729:3726380,14:54:00,14:54:00,170450,5,1095,,0,0,0
2267746:2885729:3726380,14:55:00,14:55:00,170451,6,1295,,0,0,0
2267746:2885729:3726380,14:55:00,14:55:00,170461,7,1516,,0,0,1
2267746:2885729:3726380,14:56:00,14:56:00,170453,8,1927,,0,0,0
2267746:2885729:3726380,14:56:00,14:56:00,170455,9,2186,,0,0,0
2267746:2885729:3726380,14:56:00,14:56:00,170457,10,2422,,0,0,0
2267746:2885729:3726380,14:57:00,14:57:00,170458,11,2587,,0,0,0
2267746:2885729:3726380,14:57:00,14:57:00,170460,12,2842,,0,0,1
2267746:2885729:3726380,14:58:00,14:58:00,170459,13,3315,,0,0,0
2267746:2885729:3726380,14:59:00,14:59:00,170456,14,3739,,0,0,0
2267746:2885729:3726380,14:59:00,14:59:00,170454,15,3982,,0,0,0
2267746:2885729:3726380,15:00:00,15:00:00,170537,16,4397,,0,0,1
2267746:2885729:3726380,15:00:00,15:00:00,170518,17,4567,,0,0,0
2267746:2885729:3726380,15:01:00,15:01:00,170519,18,4823,,0,0,0
2267746:2885729:3726380,15:01:00,15:01:00,170520,19,4972,,0,0,1
2267746:2885729:3726380,15:02:00,15:02:00,170521,20,5415,,0,0,0
2267746:2885729:3726380,15:02:00,15:02:00,170522,21,5642,,0,0,0
2267746:2885729:3726380,15:02:00,15:02:00,170523,22,5868,,0,0,0
2267746:2885729:3726380,15:03:00,15:03:00,170464,23,6190,,0,0,1
2267746:2885729:3726380,15:04:00,15:04:00,170462,24,6452,,0,0,0
2267746:2885729:3726380,15:04:00,15:04:00,170447,25,6640,,0,0,0
2267746:2885729:3726380,15:05:00,15:05:00,170173,26,6947,,0,0,0
2267746:2885729:3726380,15:06:00,15:06:00,170516,27,7170,,0,0,0
2267746:2885729:3726380,15:07:00,15:07:00,170184,28,7409,,0,0,0
2267746:2885729:3726380,15:08:00,15:08:00,170545,29,7894,,0,0,1
2279430:2885736:3725865,13:50:00,13:50:00,170545,1,0,,0,0,1
2279430:2885736:3725865,13:51:00,13:51:00,170184,2,305,,0,0,0
2279430:2885736:3725865,13:51:00,13:51:00,170434,3,673,,0,0,0
2279430:2885736:3725865,13:51:00,13:51:00,170435,4,814,,0,0,0
2279430:2885736:3725865,13:52:00,13:52:00,170485,5,1203,,0,0,0
2279430:2885736:3725865,13:53:00,13:53:00,170514,6,1441,,0,0,0
2279430:2885736:3725865,13:53:00,13:53:00,170483,7,1681,,0,0,1
2279430:2885736:3725865,13:53:00,13:53:00,170482,8,1880,,0,0,0
2279430:2885736:3725865,13:54:00,13:54:00,170496,9,2283,,0,0,0
2279430:2885736:3725865,13:55:00,13:55:00,170497,10,2617,,0,0,1
2279430:2885736:3725865,13:56:00,13:56:00,170002,11,2842,,0,0,0
2279430:2885736:3725865,13:56:00,13:56:00,170498,12,3108,,0,0,0
2279430:2885736:3725865,13:57:00,13:57:00,170494,13,3578,,0,0,0
2279430:2885736:3725865,13:58:00,13:58:00,170495,14,3771,,0,0,0
2279430:2885736:3725865,13:58:00,13:58:00,170481,15,3962,,0,0,0
2279430:2885736:3725865,13:59:00,13:59:00,170480,16,4234,,0,0,0
2279430:2885736:3725865,13:59:00,13:59:00,170479,17,4404,,0,0,0
2279430:2885736:3725865,14:00:00,14:00:00,170478,18,4708,,0,0,0
2279430:2885736:3725865,14:00:00,14:00:00,170477,19,4834,,0,0,1
2279430:2885736:3725865,14:01:00,14:01:00,170476,20,5206,,0,0,0
2279430:2885736:3725865,14:02:00,14:02:00,170475,21,5660,,0,0,0
2279430:2885736:3725865,14:04:00,14:04:00,170545,22,6213,,0,0,1
2267822:2885766:3725818,12:49:00,12:49:00,170409,1,0,,0,0,1
2267822:2885766:3725818,12:50:00,12:50:00,170407,2,518,,0,0,0
2267822:2885766:3725818,12:50:00,12:50:00,170405,3,607,,0,0,0
2267822:2885766:3725818,12:50:00,12:50:00,170403,4,804,,0,0,0
2267822:2885766:3725818,12:51:00,12:51:00,170401,5,955,,0,0,0
2267822:2885766:3725818,12:51:00,12:51:00,170402,6,1110,,0,0,0
2267822:2885766:3725818,12:51:00,12:51:00,170404,7,1237,,0,0,1
2267822:2885766:3725818,12:52:00,12:52:00,170408,8,1533,,0,0,0
2267822:2885766:3725818,12:52:00,12:52:00,170412,9,1727,,0,0,0
2267822:2885766:3725818,12:54:00,12:54:00,170530,10,2524,,0,0,0
2267822:2885766:3725818,12:55:00,12:55:00,170429,11,2883,,0,0,1
2267822:2885766:3725818,12:56:00,12:56:00,170426,12,3330,,0,0,0
2267822:2885766:3725818,12:57:00,12:57:00,170508,13,3621,,0,0,0
2267822:2885766:3725818,12:58:00,12:58:00,170505,14,3938,,0,0,0
2267822:2885766:3725818,12:58:00,12:58:00,170503,15,4125,,0,0,0
2267822:2885766:3725818,12:59:00,12:59:00,170501,16,4369,,0,0,0
2267822:2885766:3725818,12:59:00,12:59:00,170499,17,4575,,0,0,0
2267822:2885766:3725818,13:00:00,13:00:00,170545,18,4886,,0,0,1
2279570:2885785:2891989,11:34:00,11:34:00,172019,1,0,,0,0,1
2279570:2885785:2891989,11:43:00,11:43:00,172021,2,10125,,0,0,1
2279570:2885785:2891989,12:00:00,12:00:00,172018,3,23430,,0,0,0
2279570:2885785:2891989,12:02:00,12:02:00,172017,4,25096,,0,0,0
2279570:2885785:2891989,12:04:00,12:04:00,172016,5,26570,,0,0,0
2279570:2885785:2891989,12:05:00,12:05:00,172005,6,27510,,0,0,1
2279415:2885793:3725788,12:53:00,12:53:00,170545,1,0,,0,0,1
2279415:2885793:3725803,12:53:00,12:53:00,170545,1,0,,0,0,1
2279415:2885793:3725788,12:54:00,12:54:00,170437,2,409,,0,0,0
2279415:2885793:3725803,12:54:00,12:54:00,170437,2,409,,0,0,0
2279415:2885793:3725788,12:54:00,12:54:00,170446,3,548,,0,0,0
2279415:2885793:3725803,12:54:00,12:54:00,170446,3,548,,0,0,0
2279415:2885793:3725788,12:54:00,12:54:00,170449,4,863,,0,0,0
2279415:2885793:3725803,12:54:00,12:54:00,170449,4,863,,0,0,0
2279415:2885793:3725788,12:54:00,12:54:00,170450,5,1095,,0,0,0
2279415:2885793:3725803,12:54:00,12:54:00,170450,5,1095,,0,0,0
2279415:2885793:3725788,12:55:00,12:55:00,170451,6,1295,,0,0,0
2279415:2885793:3725803,12:55:00,12:55:00,170451,6,1295,,0,0,0
2279415:2885793:3725788,12:55:00,12:55:00,170461,7,1516,,0,0,1
2279415:2885793:3725803,12:55:00,12:55:00,170461,7,1516,,0,0,1
2279415:2885793:3725788,12:56:00,12:56:00,170453,8,1927,,0,0,0
2279415:2885793:3725803,12:56:00,12:56:00,170453,8,1927,,0,0,0
2279415:2885793:3725788,12:56:00,12:56:00,170455,9,2186,,0,0,0
2279415:2885793:3725803,12:56:00,12:56:00,170455,9,2186,,0,0,0
2279415:2885793:3725788,12:56:00,12:56:00,170457,10,2422,,0,0,0
2279415:2885793:3725803,12:56:00,12:56:00,170457,10,2422,,0,0,0
2279415:2885793:3725788,12:57:00,12:57:00,170458,11,2587,,0,0,0
2279415:2885793:3725803,12:57:00,12:57:00,170458,11,2587,,0,0,0
2279415:2885793:3725788,12:57:00,12:57:00,170460,12,2842,,0,0,1
2279415:2885793:3725803,12:57:00,12:57:00,170460,12,2842,,0,0,1
2279415:2885793:3725788,12:58:00,12:58:00,170459,13,3315,,0,0,0
2279415:2885793:3725803,12:58:00,12:58:00,170459,13,3315,,0,0,0
2279415:2885793:3725788,12:59:00,12:59:00,170456,14,3739,,0,0,0
2279415:2885793:3725803,12:59:00,12:59:00,170456,14,3739,,0,0,0
2279415:2885793:3725788,12:59:00,12:59:00,170454,15,3982,,0,0,0
2279415:2885793:3725803,12:59:00,12:59:00,170454,15,3982,,0,0,0
2279415:2885793:3725788,13:00:00,13:00:00,170537,16,4397,,0,0,1
2279415:2885793:3725803,13:00:00,13:00:00,170537,16,4397,,0,0,1
2279415:2885793:3725788,13:00:00,13:00:00,170518,17,4567,,0,0,0
2279415:2885793:3725803,13:00:00,13:00:00,170518,17,4567,,0,0,0
2279415:2885793:3725788,13:01:00,13:01:00,170519,18,4823,,0,0,0
2279415:2885793:3725803,13:01:00,13:01:00,170519,18,4823,,0,0,0
2279415:2885793:3725788,13:01:00,13:01:00,170520,19,4972,,0,0,1
2279415:2885793:3725803,13:01:00,13:01:00,170520,19,4972,,0,0,1
2279415:2885793:3725788,13:02:00,13:02:00,170521,20,5415,,0,0,0
2279415:2885793:3725803,13:02:00,13:02:00,170521,20,5415,,0,0,0
2279415:2885793:3725788,13:02:00,13:02:00,170522,21,5642,,0,0,0
2279415:2885793:3725803,13:02:00,13:02:00,170522,21,5642,,0,0,0
2279415:2885793:3725788,13:02:00,13:02:00,170523,22,5868,,0,0,0
2279415:2885793:3725803,13:02:00,13:02:00,170523,22,5868,,0,0,0
2279415:2885793:3725788,13:03:00,13:03:00,170464,23,6190,,0,0,1
2279415:2885793:3725803,13:03:00,13:03:00,170464,23,6190,,0,0,1
2279415:2885793:3725788,13:04:00,13:04:00,170462,24,6452,,0,0,0
2279415:2885793:3725803,13:04:00,13:04:00,170462,24,6452,,0,0,0
2279415:2885793:3725788,13:04:00,13:04:00,170447,25,6640,,0,0,0
2279415:2885793:3725803,13:04:00,13:04:00,170447,25,6640,,0,0,0
2279415:2885793:3725788,13:05:00,13:05:00,170173,26,6947,,0,0,0
2279415:2885793:3725803,13:05:00,13:05:00,170173,26,6947,,0,0,0
2279415:2885793:3725788,13:06:00,13:06:00,170516,27,7170,,0,0,0
2279415:2885793:3725803,13:06:00,13:06:00,170516,27,7170,,0,0,0
2279415:2885793:3725788,13:07:00,13:07:00,170184,28,7409,,0,0,0
2279415:2885793:3725803,13:07:00,13:07:00,170184,28,7409,,0,0,0
2279415:2885793:3725788,13:08:00,13:08:00,170545,29,7894,,0,0,1
2279415:2885793:3725803,13:08:00,13:08:00,170545,29,7894,,0,0,1
2267819:2885797:3725818,11:55:00,11:55:00,170545,1,0,,0,0,1
2267819:2885797:3725818,11:56:00,11:56:00,170500,2,505,,0,0,0
2267819:2885797:3725818,11:57:00,11:57:00,170502,3,696,,0,0,0
2267819:2885797:3725818,11:57:00,11:57:00,170504,4,968,,0,0,0
2267819:2885797:3725818,11:58:00,11:58:00,170506,5,1188,,0,0,0
2267819:2885797:3725818,11:59:00,11:59:00,170509,6,1529,,0,0,0
2267819:2885797:3725818,11:59:00,11:59:00,170427,7,1761,,0,0,0
2267819:2885797:3725818,12:00:00,12:00:00,170428,8,1956,,0,0,0
2267819:2885797:3725818,12:00:00,12:00:00,170538,9,2184,,0,0,0
2267819:2885797:3725818,12:01:00,12:01:00,170429,10,2434,,0,0,1
2267819:2885797:3725818,12:02:00,12:02:00,170426,11,2881,,0,0,0
2267819:2885797:3725818,12:04:00,12:04:00,170424,12,3502,,0,0,0
2267819:2885797:3725818,12:04:00,12:04:00,170422,13,3666,,0,0,0
2267819:2885797:3725818,12:05:00,12:05:00,170418,14,4058,,0,0,1
2267819:2885797:3725818,12:06:00,12:06:00,170416,15,4354,,0,0,0
2267819:2885797:3725818,12:06:00,12:06:00,170413,16,4674,,0,0,0
2267819:2885797:3725818,12:07:00,12:07:00,170411,17,4922,,0,0,0
2267819:2885797:3725818,12:07:00,12:07:00,170540,18,5171,,0,0,0
2267819:2885797:3725818,12:08:00,12:08:00,170409,19,5722,,0,0,1
2267798:2885804:3726176,16:50:00,16:50:00,170545,1,0,,0,0,1
2267798:2885804:3726176,16:51:00,16:51:00,170184,2,305,,0,0,0
2267798:2885804:3726176,16:51:00,16:51:00,170434,3,673,,0,0,0
2267798:2885804:3726176,16:51:00,16:51:00,170435,4,814,,0,0,0
2267798:2885804:3726176,16:52:00,16:52:00,170485,5,1203,,0,0,0
2267798:2885804:3726176,16:53:00,16:53:00,170514,6,1441,,0,0,0
2267798:2885804:3726176,16:53:00,16:53:00,170483,7,1681,,0,0,1
2267798:2885804:3726176,16:53:00,16:53:00,170482,8,1880,,0,0,0
2267798:2885804:3726176,16:54:00,16:54:00,170496,9,2283,,0,0,0
2267798:2885804:3726176,16:55:00,16:55:00,170497,10,2617,,0,0,1
2267798:2885804:3726176,16:55:00,16:55:00,170002,11,2842,,0,0,0
2267798:2885804:3726176,16:56:00,16:56:00,170498,12,3108,,0,0,0
2267798:2885804:3726176,16:57:00,16:57:00,170494,13,3578,,0,0,0
2267798:2885804:3726176,16:57:00,16:57:00,170495,14,3771,,0,0,0
2267798:2885804:3726176,16:57:00,16:57:00,170481,15,3962,,0,0,0
2267798:2885804:3726176,16:58:00,16:58:00,170480,16,4234,,0,0,0
2267798:2885804:3726176,16:58:00,16:58:00,170479,17,4404,,0,0,0
2267798:2885804:3726176,16:59:00,16:59:00,170478,18,4708,,0,0,0
2267798:2885804:3726176,16:59:00,16:59:00,170477,19,4834,,0,0,1
2267798:2885804:3726176,17:00:00,17:00:00,170476,20,5206,,0,0,0
2267798:2885804:3726176,17:01:00,17:01:00,170475,21,5660,,0,0,0
2267798:2885804:3726176,17:03:00,17:03:00,170545,22,6213,,0,0,1
2267865:2885829:3725818,17:40:00,17:40:00,170545,1,0,,0,0,1
2267865:2885829:3725818,17:41:00,17:41:00,170500,2,505,,0,0,0
2267865:2885829:3725818,17:42:00,17:42:00,170502,3,696,,0,0,0
2267865:2885829:3725818,17:42:00,17:42:00,170504,4,968,,0,0,0
2267865:2885829:3725818,17:43:00,17:43:00,170506,5,1188,,0,0,0
2267865:2885829:3725818,17:44:00,17:44:00,170509,6,1529,,0,0,0
2267865:2885829:3725818,17:44:00,17:44:00,170427,7,1761,,0,0,0
2267865:2885829:3725818,17:45:00,17:45:00,170428,8,1956,,0,0,0
2267865:2885829:3725818,17:45:00,17:45:00,170538,9,2184,,0,0,0
2267865:2885829:3725818,17:46:00,17:46:00,170429,10,2434,,0,0,1
2267865:2885829:3725818,17:47:00,17:47:00,170426,11,2881,,0,0,0
2267865:2885829:3725818,17:49:00,17:49:00,170424,12,3502,,0,0,0
2267865:2885829:3725818,17:49:00,17:49:00,170422,13,3666,,0,0,0
2267865:2885829:3725818,17:50:00,17:50:00,170418,14,4058,,0,0,1
2267865:2885829:3725818,17:51:00,17:51:00,170416,15,4354,,0,0,0
2267865:2885829:3725818,17:51:00,17:51:00,170413,16,4674,,0,0,0
2267865:2885829:3725818,17:52:00,17:52:00,170411,17,4922,,0,0,0
2267865:2885829:3725818,17:52:00,17:52:00,170540,18,5171,,0,0,0
2267865:2885829:3725818,17:53:00,17:53:00,170409,19,5722,,0,0,1
2279533:2885852:3725691,10:54:00,10:54:00,170545,1,0,,0,0,1
2279533:2885852:3725691,10:55:00,10:55:00,170184,2,305,,0,0,0
2279533:2885852:3725691,10:55:00,10:55:00,170434,3,673,,0,0,0
2279533:2885852:3725691,10:55:00,10:55:00,170435,4,814,,0,0,0
2279533:2885852:3725691,10:56:00,10:56:00,170485,5,1203,,0,0,0
2279533:2885852:3725691,10:57:00,10:57:00,170514,6,1441,,0,0,0
2279533:2885852:3725691,10:57:00,10:57:00,170483,7,1681,,0,0,1
2279533:2885852:3725691,10:57:00,10:57:00,170482,8,1880,,0,0,0
2279533:2885852:3725691,10:58:00,10:58:00,170496,9,2283,,0,0,0
2279533:2885852:3725691,10:59:00,10:59:00,170497,10,2617,,0,0,1
2279533:2885852:3725691,11:00:00,11:00:00,170002,11,2842,,0,0,0
2279533:2885852:3725691,11:00:00,11:00:00,170498,12,3108,,0,0,0
2279533:2885852:3725691,11:01:00,11:01:00,170494,13,3578,,0,0,0
2279533:2885852:3725691,11:02:00,11:02:00,170495,14,3771,,0,0,0
2279533:2885852:3725691,11:02:00,11:02:00,170481,15,3962,,0,0,0
2279533:2885852:3725691,11:03:00,11:03:00,170480,16,4234,,0,0,0
2279533:2885852:3725691,11:03:00,11:03:00,170479,17,4404,,0,0,0
2279533:2885852:3725691,11:04:00,11:04:00,170478,18,4708,,0,0,0
2279533:2885852:3725691,11:04:00,11:04:00,170477,19,4834,,0,0,1
2279533:2885852:3725691,11:05:00,11:05:00,170476,20,5206,,0,0,0
2279533:2885852:3725691,11:06:00,11:06:00,170475,21,5660,,0,0,0
2279533:2885852:3725691,11:08:00,11:08:00,170545,22,6213,,0,0,1
2267863:2885853:3725818,15:31:00,15:31:00,170545,1,0,,0,0,1
2267863:2885853:3725818,15:32:00,15:32:00,170500,2,505,,0,0,0
2267863:2885853:3725818,15:33:00,15:33:00,170502,3,696,,0,0,0
2267863:2885853:3725818,15:33:00,15:33:00,170504,4,968,,0,0,0
2267863:2885853:3725818,15:34:00,15:34:00,170506,5,1188,,0,0,0
2267863:2885853:3725818,15:35:00,15:35:00,170509,6,1529,,0,0,0
2267863:2885853:3725818,15:35:00,15:35:00,170427,7,1761,,0,0,0
2267863:2885853:3725818,15:36:00,15:36:00,170428,8,1956,,0,0,0
2267863:2885853:3725818,15:36:00,15:36:00,170538,9,2184,,0,0,0
2267863:2885853:3725818,15:37:00,15:37:00,170429,10,2434,,0,0,1
2267863:2885853:3725818,15:38:00,15:38:00,170426,11,2881,,0,0,0
2267863:2885853:3725818,15:40:00,15:40:00,170424,12,3502,,0,0,0
2267863:2885853:3725818,15:40:00,15:40:00,170422,13,3666,,0,0,0
2267863:2885853:3725818,15:41:00,15:41:00,170418,14,4058,,0,0,1
2267863:2885853:3725818,15:42:00,15:42:00,170416,15,4354,,0,0,0
2267863:2885853:3725818,15:42:00,15:42:00,170413,16,4674,,0,0,0
2267863:2885853:3725818,15:43:00,15:43:00,170411,17,4922,,0,0,0
2267863:2885853:3725818,15:43:00,15:43:00,170540,18,5171,,0,0,0
2267863:2885853:3725818,15:44:00,15:44:00,170409,19,5722,,0,0,1
2267869:2885865:3725818,13:56:00,13:56:00,170545,1,0,,0,0,1
2267869:2885865:3725818,13:57:00,13:57:00,170184,2,305,,0,0,0
2267869:2885865:3725818,13:58:00,13:58:00,170434,3,673,,0,0,0
2267869:2885865:3725818,13:58:00,13:58:00,170435,4,814,,0,0,0
2267869:2885865:3725818,13:59:00,13:59:00,170488,5,1392,,0,0,0
2267869:2885865:3725818,14:00:00,14:00:00,170489,6,1600,,0,0,0
2267869:2885865:3725818,14:00:00,14:00:00,170533,7,1753,,0,0,0
2267869:2885865:3725818,14:01:00,14:01:00,170513,8,2243,,0,0,1
2267869:2885865:3725818,14:01:00,14:01:00,170512,9,2338,,0,0,0
2267869:2885865:3725818,14:02:00,14:02:00,170188,10,2572,,0,0,0
2267869:2885865:3725818,14:02:00,14:02:00,170511,11,2733,,0,0,0
2267869:2885865:3725818,14:02:00,14:02:00,170510,12,2925,,0,0,0
2267869:2885865:3725818,14:03:00,14:03:00,170534,13,3140,,0,0,1
2267869:2885865:3725818,14:03:00,14:03:00,170493,14,3377,,0,0,0
2267869:2885865:3725818,14:04:00,14:04:00,170492,15,3632,,0,0,0
2267869:2885865:3725818,14:05:00,14:05:00,170491,16,3902,,0,0,0
2267869:2885865:3725818,14:05:00,14:05:00,170490,17,4266,,0,0,0
2267869:2885865:3725818,14:06:00,14:06:00,170484,18,4452,,0,0,0
2267869:2885865:3725818,14:06:00,14:06:00,170179,19,4681,,0,0,0
2267869:2885865:3725818,14:06:00,14:06:00,170486,20,4833,,0,0,0
2267869:2885865:3725818,14:07:00,14:07:00,170487,21,5174,,0,0,0
2267869:2885865:3725818,14:07:00,14:07:00,170436,22,5363,,0,0,0
2267869:2885865:3725818,14:09:00,14:09:00,170545,23,6098,,0,0,1
2267752:2885879:3726380,13:50:00,13:50:00,170545,1,0,,0,0,1
2267752:2885879:3726380,13:51:00,13:51:00,170437,2,409,,0,0,0
2267752:2885879:3726380,13:51:00,13:51:00,170433,3,503,,0,0,0
2267752:2885879:3726380,13:52:00,13:52:00,170438,4,680,,0,0,0
2267752:2885879:3726380,13:52:00,13:52:00,170439,5,1012,,0,0,0
2267752:2885879:3726380,13:53:00,13:53:00,170440,6,1219,,0,0,1
2267752:2885879:3726380,13:54:00,13:54:00,170215,7,1553,,0,0,0
2267752:2885879:3726380,13:54:00,13:54:00,170443,8,1689,,0,0,0
2267752:2885879:3726380,13:55:00,13:55:00,170191,9,2079,,0,0,1
2267752:2885879:3726380,13:58:00,13:58:00,170190,10,3398,,0,0,1
2267752:2885879:3726380,13:59:00,13:59:00,170528,11,3772,,0,0,0
2267752:2885879:3726380,13:59:00,13:59:00,170444,12,4079,,0,0,0
2267752:2885879:3726380,14:00:00,14:00:00,170442,13,4305,,0,0,0
